Neuron_ID,X,Y,Z,Cluster_Number
488.0,3117.18294,1306.341661843045,14.461008403361271,8
489.0,2424.47562,1315.4556734372986,14.561899159663792,8
490.0,2652.3398700000002,1306.341661843045,14.461008403361271,8
491.0,2980.46439,1315.4556734372986,14.561899159663792,8
492.0,3032.11362,1315.4556734372986,14.561899159663792,8
493.0,425.3466,1312.4176695725475,14.528268907562952,11
494.0,2272.56612,1327.6076888963037,14.696420168067151,3
495.0,470.91945000000004,1327.6076888963037,14.696420168067151,11
496.0,1516.05681,1324.5696850315524,14.66278991596631,12
497.0,1306.4217,1318.49367730205,14.59552941176463,12
498.0,2494.35399,1333.6836966258063,14.763680672268832,8
499.0,1221.35238,1330.645692761055,14.730050420167993,12
500.0,1807.72305,1351.911719814314,14.965462184873877,3
501.0,2005.2054,1333.6836966258063,14.763680672268832,3
502.0,1437.0638700000002,1348.8737159495627,14.931831932773035,12
503.0,2819.44032,1357.9877275438164,15.032722689075555,8
504.0,1643.6607900000001,1351.911719814314,14.965462184873877,12
505.0,1753.03563,1364.063735273319,15.099983193277234,3
506.0,1904.94513,1348.8737159495627,14.931831932773035,3
507.0,1096.7865900000002,1361.0257314085677,15.066352941176394,12
508.0,2567.27055,1351.911719814314,14.965462184873877,1
509.0,2710.06548,1354.9497236790653,14.999092436974713,1
510.0,3196.1758800000002,1348.8737159495627,14.931831932773035,8
511.0,3311.6271,1367.1017391380701,15.133613445378073,8
512.0,1549.4769000000001,1357.9877275438164,15.032722689075555,12
513.0,1339.8417900000002,1351.911719814314,14.965462184873877,12
514.0,2880.2041200000003,1370.1397430028214,15.167243697478915,1
515.0,1230.46695,1373.1777468675728,15.200873949579755,12
516.0,2135.84757,1354.9497236790653,14.999092436974713,3
517.0,1391.4910200000002,1361.0257314085677,15.066352941176394,12
518.0,2242.18422,1376.215750732324,15.234504201680593,3
519.0,2953.12068,1364.063735273319,15.099983193277234,8
520.0,1269.96342,1376.215750732324,15.234504201680593,12
521.0,1710.50097,1373.1777468675728,15.200873949579755,12
522.0,2646.2634900000003,1373.1777468675728,15.200873949579755,8
524.0,2463.97209,1391.4057700560804,15.402655462184796,8
525.0,1592.0115600000001,1397.481777785583,15.469915966386477,12
526.0,2773.86747,1391.4057700560804,15.402655462184796,8
527.0,3071.61009,1382.2917584618265,15.301764705882274,8
528.0,3114.1447500000004,1382.2917584618265,15.301764705882274,8
529.0,3001.73172,1394.4437739208317,15.436285714285638,1
530.0,1467.44577,1397.481777785583,15.469915966386477,12
531.0,3266.05425,1394.4437739208317,15.436285714285638,8
532.0,1032.9846,1397.481777785583,15.469915966386477,12
533.0,1297.3071300000001,1409.6337932445879,15.604436974789836,12
534.0,1531.2477600000002,1409.6337932445879,15.604436974789836,12
535.0,1661.88993,1403.5577855150855,15.537176470588156,12
536.0,1355.03274,1415.7098009740905,15.671697478991518,12
537.0,2916.6624,1409.6337932445879,15.604436974789836,1
538.0,1974.8235000000002,1400.5197816503342,15.503546218487317,3
539.0,2023.4345400000002,1427.8618164330956,15.806218487394878,3
540.0,3433.1547,1412.6717971093392,15.638067226890676,8
541.0,1409.72016,1421.785808703593,15.738957983193197,12
542.0,1713.53916,1421.785808703593,15.738957983193197,12
543.0,1783.4175300000002,1424.8238125683442,15.772588235294036,3
544.0,3223.5195900000003,1421.785808703593,15.738957983193197,8
545.0,3342.009,1412.6717971093392,15.638067226890676,8
546.0,1892.7923700000001,1421.785808703593,15.738957983193197,3
547.0,176.21502,1421.785808703593,15.738957983193197,11
548.0,1236.54333,1430.8998202978466,15.839848739495718,12
549.0,2278.6425,1415.7098009740905,15.671697478991518,3
550.0,2849.82222,1440.0138318921008,15.940739495798239,1
551.0,3022.9990500000004,1440.0138318921008,15.940739495798239,8
552.0,361.54461000000003,1446.0898396216032,16.007999999999917,11
553.0,3114.1447500000004,1446.0898396216032,16.007999999999917,8
554.0,3387.58185,1440.0138318921008,15.940739495798239,8
555.0,2971.3498200000004,1461.2798589453596,16.17615126050412,8
556.0,3171.8703600000003,1446.0898396216032,16.007999999999917,8
557.0,233.94063,1473.4318744043644,16.31067226890748,11
558.0,2922.73878,1458.2418550806083,16.142521008403282,1
559.0,1494.7894800000001,1449.1278434863545,16.04163025210076,12
560.0,1558.59147,1467.355866674862,16.243411764705797,12
561.0,1898.86875,1461.2798589453596,16.17615126050412,3
562.0,2412.32286,1464.3178628101107,16.20978151260496,3
563.0,3217.4432100000004,1467.355866674862,16.243411764705797,8
565.0,2801.2111800000002,1467.355866674862,16.243411764705797,1
